Position,Const,Created,Modified,Description,Title,Original Title,URL,Title Type,IMDb Rating,Runtime (mins),Year,Genres,Num Votes,Release Date,Directors,Your Rating,Date Rated
1,tt23177868,2023-02-19,2023-02-19,,"Mummies","Mummies",https://www.imdb.com/title/tt23177868/,Movie,5.9,88,2023,"Animation, Adventure, Comedy, Crime, Drama, Family, Fantasy, Musical, Romance",9192,2023-02-24,"Juan Jesús García Galocha",,
2,tt0481499,2023-04-14,2023-04-14,,"The Croods","The Croods",https://www.imdb.com/title/tt0481499/,Movie,7.1,98,2013,"Animation, Adventure, Comedy, Family, Fantasy",234029,2013-03-22,"Kirk DeMicco, Chris Sanders",,
3,tt8912936,2023-04-30,2023-04-30,,"DC League of Super-Pets","DC League of Super-Pets",https://www.imdb.com/title/tt8912936/,Movie,7.1,105,2022,"Animation, Action, Adventure, Comedy, Crime, Family, Fantasy, Sci-Fi",76359,2022-07-29,"Jared Stern, Sam J. Levine",,
4,tt0129167,2023-05-29,2023-05-29,,"The Iron Giant","The Iron Giant",https://www.imdb.com/title/tt0129167/,Movie,8.1,86,1999,"Animation, Action, Adventure, Comedy, Drama, Family, Sci-Fi",230658,1999-08-06,"Brad Bird",,
5,tt6166392,2023-08-29,2023-08-29,,"Wonka","Wonka",https://www.imdb.com/title/tt6166392/,Movie,7.0,116,2023,"Adventure, Comedy, Family, Fantasy, Musical",152717,2023-12-15,"Paul King",,
6,tt0423294,2023-09-25,2023-09-25,,"Surf's Up","Surf's Up",https://www.imdb.com/title/tt0423294/,Movie,6.7,85,2007,"Animation, Adventure, Comedy, Family, Sport",92049,2007-06-08,"Ash Brannon, Chris Buck",,
7,tt0762125,2023-09-25,2023-09-25,,"Planet 51","Planet 51",https://www.imdb.com/title/tt0762125/,Movie,6.0,91,2009,"Animation, Adventure, Comedy, Family, Fantasy, Sci-Fi",58912,2009-11-20,"Jorge Blanco, Javier Abad, Marcos Martínez",,
8,tt28066777,2024-02-14,2024-02-14,,"Orion and the Dark","Orion and the Dark",https://www.imdb.com/title/tt28066777/,Movie,6.3,93,2024,"Animation, Adventure, Comedy, Family, Fantasy, Mystery",14106,2024-02-02,"Sean Charmatz",,
9,tt0087363,2024-06-26,2024-06-26,,"Gremlins","Gremlins",https://www.imdb.com/title/tt0087363/,Movie,7.3,106,1984,"Comedy, Fantasy, Horror",250052,1984-06-08,"Joe Dante",,
10,tt0338348,2024-07-12,2024-07-12,,"The Polar Express","The Polar Express",https://www.imdb.com/title/tt0338348/,Movie,6.6,100,2004,"Animation, Adventure, Comedy, Family, Fantasy, Musical",243136,2004-11-10,"Robert Zemeckis",,
11,tt1446192,2024-07-12,2024-07-12,,"Rise of the Guardians","Rise of the Guardians",https://www.imdb.com/title/tt1446192/,Movie,7.2,97,2012,"Animation, Action, Adventure, Comedy, Drama, Family, Fantasy, Sci-Fi",194208,2012-11-21,"Peter Ramsey",,
12,tt29623480,2024-07-13,2024-07-13,,"The Wild Robot","The Wild Robot",https://www.imdb.com/title/tt29623480/,Movie,,,2024,"Animation, Comedy",0,2024-09-27,"Chris Sanders",,
13,tt1609486,2024-07-13,2024-07-13,,"Harold and the Purple Crayon","Harold and the Purple Crayon",https://www.imdb.com/title/tt1609486/,Movie,,92,2024,"Animation, Adventure, Comedy, Family, Fantasy",0,2024-08-02,"Carlos Saldanha",,
14,tt5822536,2024-07-13,2024-07-13,,"Paddington in Peru","Paddington in Peru",https://www.imdb.com/title/tt5822536/,Movie,,,2024,"Adventure, Comedy, Family, Mystery",0,2025-01-17,"Dougal Wilson",,
15,tt6811018,2024-07-16,2024-07-16,,"The Kid Who Would Be King","The Kid Who Would Be King",https://www.imdb.com/title/tt6811018/,Movie,6.1,120,2019,"Action, Adventure, Family, Fantasy",18926,2019-01-25,"Joe Cornish",,
